,Area,Age,Rooms,District,PricePerMeter,Price
0,58,10,1,2,64.5107311401938,4600000000
1,65,17,1,2,64.5107311401938,3250000000
2,80,14,2,2,64.5107311401938,4400000000
3,75,15,2,2,64.5107311401938,4350000000
4,70,5,1,2,64.5107311401938,4200000000
5,52,20,1,2,64.5107311401938,2860000000
6,80,7,2,2,64.5107311401938,4400000000
7,100,16,2,2,64.5107311401938,5100000000
8,61,18,1,2,64.5107311401938,2800000000
9,85,20,2,2,64.5107311401938,4000000000
10,86,18,2,2,64.5107311401938,5000000000
11,200,15,4,2,64.5107311401938,15500000000
12,160,15,3,2,64.5107311401938,12000000000
13,106,5,2,2,64.5107311401938,6700000000
14,145,10,3,2,64.5107311401938,11600000000
15,160,15,3,2,64.5107311401938,10500000000
16,153,20,3,2,64.5107311401938,9000000000
17,120,0,2,2,64.5107311401938,10000000000
18,180,15,3,2,64.5107311401938,13500000000
19,90,1,2,2,64.5107311401938,6500000000
20,65,6,1,2,64.5107311401938,4200000000
21,82,16,2,2,64.5107311401938,3772000000
22,110,15,2,2,64.5107311401938,6710000000
23,155,20,3,2,64.5107311401938,9200000000
24,112,20,2,2,64.5107311401938,7840000000
25,105,5,2,2,64.5107311401938,6656000000
26,141,5,3,2,64.5107311401938,11280000000
27,50,14,1,2,64.5107311401938,3500000000
28,150,11,3,2,64.5107311401938,10600000000
29,104,15,2,2,64.5107311401938,6800000000
30,145,10,3,2,64.5107311401938,9860000000
31,88,7,2,2,64.5107311401938,5500000000
32,93,26,3,2,64.5107311401938,4800000000
33,180,16,3,2,64.5107311401938,11200000000
34,115,39,2,2,64.5107311401938,8500000000
35,131,15,2,2,64.5107311401938,8700000000
36,106,4,2,2,64.5107311401938,7900000000
37,115,11,2,2,64.5107311401938,7250000000
38,125,16,3,2,64.5107311401938,9000000000
39,140,5,3,2,64.5107311401938,9100000000
40,106,13,2,2,64.5107311401938,6800000000
41,164,18,3,2,64.5107311401938,11000000000
42,176,15,3,2,64.5107311401938,13500000000
43,126,18,2,2,64.5107311401938,6000000000
44,115,16,2,2,64.5107311401938,6900000000
45,180,14,3,2,64.5107311401938,11950000000
46,80,9,2,2,64.5107311401938,5900000000
47,102,5,2,2,64.5107311401938,6000000000
48,110,1,2,2,64.5107311401938,9100000000
49,175,15,3,2,64.5107311401938,11900000000
50,82,20,2,2,64.5107311401938,6000000000
51,83,20,2,2,64.5107311401938,6000000000
52,134,25,3,2,64.5107311401938,8700000000
53,100,16,2,2,64.5107311401938,6000000000
54,65,4,1,2,64.5107311401938,4500000000
55,153,20,3,2,64.5107311401938,9000000000
56,107,5,2,2,64.5107311401938,6950000000
57,110,2,2,2,64.5107311401938,6600000000
58,92,1,2,2,64.5107311401938,7000000000
59,128,4,3,2,64.5107311401938,8320000000
60,130,0,3,2,64.5107311401938,9600000000
61,100,1,2,2,64.5107311401938,7600000000
62,82,20,2,2,64.5107311401938,6000000000
63,122,4,3,2,64.5107311401938,6450000000
64,65,20,1,2,64.5107311401938,3500000000
65,130,5,3,2,64.5107311401938,9500000000
66,110,0,2,2,64.5107311401938,9000000000
67,110,18,2,2,64.5107311401938,5500000000
68,90,15,2,2,64.5107311401938,6200000000
69,65,10,1,2,64.5107311401938,4300000000
70,73,1,2,2,64.5107311401938,5335000000
71,60,18,1,2,64.5107311401938,3000000000
72,65,20,1,2,64.5107311401938,3250000000
73,135,12,3,2,64.5107311401938,7700000000
74,87,10,2,2,64.5107311401938,4350000000
75,50,15,1,2,64.5107311401938,2300000000
76,65,16,1,2,64.5107311401938,4150000000
77,175,16,3,2,64.5107311401938,13700000000
78,90,11,2,2,64.5107311401938,4400000000
79,168,2,3,2,64.5107311401938,10700000000
80,125,17,3,2,64.5107311401938,8900000000
81,150,15,3,2,64.5107311401938,10500000000
82,166,17,3,2,64.5107311401938,8300000000
